"","RA0","RA1","RA2","RA3","RA4","RA5","site"
"Beads",0,8.32927284922192,4.68617274653898,3.98237709323512,6.94689587783342,76.0552814331706,"Lake"
"NoBeads",0,10.3342908271999,5.1979107866451,5.3955008357034,9.03785343348453,70.0344441169671,"Lake"
"PowerSoil",0,13.4754043343939,7.28751650730674,6.27057253873201,8.31602488804021,64.6504817315272,"Lake"
"Beads1",0,44.7819446976591,11.3797241943076,6.63810186456509,12.2116935077436,24.9885357357246,"River"
"NoBeads1",0,43.4026792964457,12.5583886048346,8.46454865111973,10.7255511237297,24.8488323238703,"River"
"PowerSoil1",0,49.5074445568259,11.4128571789409,10.431363837319,8.79054917068175,19.8577852562325,"River"
