"","0","1","2","3","4","5","site"
"Beads",984,684,110,51,43,68,"Lake"
"NoBeads",1177,555,85,40,36,47,"Lake"
"PowerSoil",1011,711,110,44,23,41,"Lake"
"Beads1",3181,2157,165,50,36,38,"River"
"NoBeads1",3088,2211,191,64,36,37,"River"
"PowerSoil1",3978,1475,98,36,18,22,"River"
"Beads2",349,341,84,41,39,115,"Pond"
"NoBeads2",620,175,43,36,21,74,"Pond"
"PowerSoil2",406,335,74,53,50,51,"Pond"
"Beads3",802,327,55,33,38,92,"Sea"
"NoBeads3",907,269,51,27,22,71,"Sea"
"PowerSoil3",456,632,90,54,33,82,"Sea"
